phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-09-23,3,3,1,0.8042,0.9291,0.4913,0.183,0.1712
PHASE1_TRAIN,2016-08-19,3,3,1,0.8037,0.981,0.5243,0.1814,0.1685
PHASE1_TRAIN,2016-10-10,3,3,1,0.8021,0.9523,0.4908,0.1824,0.1706
PHASE1_TRAIN,2016-07-26,3,3,1,0.8018,0.7816,0.3623,0.1689,0.1522
PHASE1_TRAIN,2016-11-24,3,3,1,0.8003,1.0227,0.4608,0.2013,0.1955
PHASE1_TRAIN,2016-08-22,3,3,1,0.7993,0.9409,0.4324,0.1779,0.1618
PHASE1_TRAIN,2017-03-14,3,3,1,0.7992,0.953,0.4725,0.2064,0.2015
PHASE1_TRAIN,2016-08-09,3,3,1,0.7989,0.8855,0.5229,0.1812,0.1685
PHASE1_TRAIN,2018-07-16,3,3,1,0.7986,1.025,0.4776,0.2129,0.2072
PHASE1_TRAIN,2016-08-05,3,3,1,0.7984,0.728,0.3333,0.25,0.1667
PHASE1_TRAIN,2016-07-28,3,3,1,0.7982,0.7708,0.3571,0.2431,0.232
PHASE1_TRAIN,2016-10-17,3,3,1,0.7981,1.015,0.4623,0.178,0.168
PHASE1_TRAIN,2017-11-23,3,3,1,0.7972,1.0999,0.4985,0.2058,0.1982
PHASE1_TRAIN,2020-07-06,3,3,1,0.7968,0.9764,0.4514,0.2108,0.2026
PHASE1_TRAIN,2016-07-25,3,3,1,0.7963,0.9306,0.4538,0.1861,0.168
PHASE1_TRAIN,2016-08-03,3,3,1,0.796,0.8493,0.5082,0.1875,0.1727
PHASE1_TRAIN,2016-07-29,3,3,1,0.7954,0.7822,0.3451,0.1655,0.1481
PHASE1_TRAIN,2017-08-29,3,3,1,0.7952,0.9971,0.4976,0.2072,0.2009
PHASE1_TRAIN,2016-08-26,3,3,1,0.7951,0.9279,0.3459,0.1667,0.1485
PHASE1_TRAIN,2017-02-27,3,3,1,0.7943,1.0182,0.4738,0.2076,0.2028
PHASE1_TRAIN,2016-10-19,3,3,1,0.7942,0.9787,0.4647,0.1957,0.19
PHASE1_TRAIN,2016-10-20,3,3,1,0.7941,1.012,0.4636,0.1782,0.1682
PHASE1_TRAIN,2016-08-02,3,3,1,0.793,0.8446,0.3776,0.1723,0.1555
PHASE1_TRAIN,2019-04-04,3,3,1,0.7929,1.0178,0.4612,0.2122,0.2062
PHASE1_TRAIN,2016-08-23,3,3,1,0.7928,0.9108,0.4346,0.1843,0.1684
PHASE1_TRAIN,2017-02-22,3,3,1,0.7926,1.0574,0.4744,0.2064,0.2013
PHASE1_TRAIN,2016-10-18,3,3,1,0.7925,1.0149,0.4694,0.188,0.1797
PHASE1_TRAIN,2017-01-10,3,3,1,0.7922,0.9859,0.4588,0.2032,0.1982
PHASE1_TRAIN,2016-08-16,3,3,1,0.7918,0.8209,0.4473,0.1852,0.1681
PHASE1_TRAIN,2017-02-23,3,3,1,0.7918,1.0602,0.4745,0.2064,0.2014
PHASE1_TRAIN,2016-09-06,3,3,1,0.7907,0.999,0.4928,0.1827,0.1709
PHASE1_TRAIN,2016-10-14,3,3,1,0.7905,1.0024,0.4672,0.1868,0.1788
PHASE1_TRAIN,2017-03-16,3,3,1,0.7894,1.0943,0.4751,0.2057,0.1999
PHASE1_TRAIN,2019-07-08,3,3,1,0.7883,1.1471,0.4652,0.2107,0.2031
PHASE1_TRAIN,2018-07-13,3,3,1,0.7882,1.0539,0.4775,0.2129,0.2072
PHASE1_TRAIN,2017-01-13,3,3,1,0.7881,0.9997,0.4592,0.2032,0.1983
PHASE1_TRAIN,2016-09-02,3,3,1,0.7879,1.0559,0.4904,0.1813,0.1688
PHASE1_TRAIN,2016-10-03,3,3,1,0.7875,1.0229,0.4879,0.1826,0.1703
PHASE1_TRAIN,2017-03-08,3,3,1,0.7875,1.0263,0.4821,0.2053,0.1991
PHASE1_TRAIN,2019-04-03,3,3,1,0.7875,1.0358,0.4612,0.2122,0.2062
PHASE1_TRAIN,2016-09-02,3,3,1,0.7872,1.0418,0.49,0.1802,0.1684
PHASE1_TRAIN,2017-04-12,3,3,1,0.7871,1.0784,0.4917,0.2055,0.1986
PHASE1_TRAIN,2017-01-18,3,3,1,0.7867,1.0439,0.4694,0.2041,0.1986
PHASE1_TRAIN,2018-03-09,3,3,1,0.7863,0.9907,0.488,0.2113,0.2058
PHASE1_TRAIN,2016-09-21,3,3,1,0.7862,0.9174,0.4916,0.1827,0.1706
PHASE1_TRAIN,2021-01-01,3,3,1,0.7857,0.9573,0.448,0.2097,0.2006
PHASE1_TRAIN,2017-04-10,3,3,1,0.785,1.0424,0.4938,0.2071,0.2009
PHASE1_TRAIN,2016-10-14,3,3,1,0.7848,0.9549,0.4637,0.1956,0.1898
PHASE1_TRAIN,2017-04-07,3,3,1,0.7846,1.153,0.4916,0.2055,0.1986
PHASE1_TRAIN,2016-09-29,3,3,1,0.7831,0.9456,0.4642,0.1782,0.1678
PHASE1_TRAIN,2017-04-05,3,3,1,0.7822,1.1457,0.4913,0.2054,0.1986
PHASE1_TRAIN,2016-10-13,3,3,1,0.7821,0.9878,0.4647,0.184,0.1755
PHASE1_TRAIN,2019-07-05,3,3,1,0.7809,1.1696,0.4652,0.2107,0.203
PHASE1_TRAIN,2017-03-08,3,3,1,0.7808,1.0554,0.4808,0.2055,0.1994
PHASE1_TRAIN,2016-07-25,3,3,1,0.7801,1.0143,0.5015,0.1894,0.1742
PHASE1_TRAIN,2017-11-09,3,3,1,0.7792,1.1149,0.4995,0.2063,0.1991
PHASE1_TRAIN,2018-03-13,3,3,1,0.7782,1.0575,0.4881,0.2113,0.2059
PHASE1_TRAIN,2018-01-29,1,1,1,0.778,1.072,0.4934,0.2088,0.2023
PHASE1_TRAIN,2016-10-04,3,3,1,0.7778,1.1209,0.4911,0.1845,0.1721
PHASE1_TRAIN,2016-07-28,3,3,1,0.7776,0.9659,0.4903,0.1865,0.1705
PHASE1_TRAIN,2017-08-28,3,3,1,0.7775,0.9962,0.4975,0.2072,0.2009
PHASE1_TRAIN,2019-04-02,3,3,1,0.7774,1.0827,0.4611,0.2122,0.2062
PHASE1_TRAIN,2016-10-19,3,3,1,0.7769,1.0146,0.4618,0.1826,0.1739
PHASE1_TRAIN,2016-08-19,3,3,1,0.7763,0.8022,0.4375,0.3111,0.2952
