phase,symbol,date,sample_key,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,ABBV,2016-08-15,ABBV|2016-08-15,3,3,1,0.6127,1.6728,0.6,0.4274,0.4165,"[0.036434, 0.159002, 0.612698, 0.114056, 0.07781]","{'sgd': 0.12373, 'pa': 0.78533, 'gnb': 0.04547, 'rule': 0.04547}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5001, 'pa': 0.6874, 'gnb': 0.2, 'rule': 0.9034}",0.00417,0.014443
PHASE1_TRAIN,ABBV,2016-08-16,ABBV|2016-08-16,2,3,0,0.4039,2.0045,0.5909,0.4183,0.4099,"[0.032876, 0.194794, 0.403901, 0.258638, 0.109791]","{'sgd': 0.10688, 'pa': 0.80249, 'gnb': 0.04531, 'rule': 0.04531}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4904, 'gnb': 0.2, 'rule': 0.9259}",-0.0064,0.016627
PHASE1_TRAIN,ABBV,2016-08-17,ABBV|2016-08-17,3,3,1,0.4601,2.0174,0.597,0.4204,0.4119,"[0.076095, 0.215781, 0.460121, 0.14446, 0.103543]","{'sgd': 0.10538, 'pa': 0.79119, 'gnb': 0.05172, 'rule': 0.05172}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.9339, 'pa': 0.4413, 'gnb': 0.2, 'rule': 0.9114}",0.003453,0.014963
PHASE1_TRAIN,ABBV,2016-08-18,ABBV|2016-08-18,3,3,1,0.4488,1.9704,0.6029,0.4223,0.4138,"[0.039006, 0.215611, 0.448755, 0.198424, 0.098204]","{'sgd': 0.10695, 'pa': 0.80303, 'gnb': 0.04501, 'rule': 0.04501}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5015, 'pa': 0.4792, 'gnb': 0.2, 'rule': 0.9183}",-0.001943,0.01318
PHASE1_TRAIN,ABBV,2016-08-19,ABBV|2016-08-19,1,3,0,0.8571,0.8434,0.5942,0.4095,0.4064,"[0.018573, 0.055741, 0.857068, 0.05543, 0.013188]","{'sgd': 0.09206, 'pa': 0.81764, 'gnb': 0.04515, 'rule': 0.04515}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.9801, 'gnb': 0.2, 'rule': 0.9609}",0.00721,0.009993
PHASE1_TRAIN,ABBV,2016-08-22,ABBV|2016-08-22,3,4,0,0.3183,2.2114,0.5857,0.4059,0.4044,"[0.127808, 0.267768, 0.120327, 0.318349, 0.165749]","{'sgd': 0.09065, 'pa': 0.8051, 'gnb': 0.05259, 'rule': 0.05165}","{'sgd': 4, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.3182, 'gnb': 0.2, 'rule': 0.9587}",-0.005048,0.013282
PHASE1_TRAIN,ABBV,2016-08-23,ABBV|2016-08-23,2,3,0,0.3964,1.8817,0.5775,0.3983,0.3984,"[0.01588, 0.306265, 0.396356, 0.216199, 0.0653]","{'sgd': 0.09057, 'pa': 0.80446, 'gnb': 0.05255, 'rule': 0.05242}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.4788, 'gnb': 0.2, 'rule': 0.8821}",-0.018733,0.022727
PHASE1_TRAIN,ABBV,2016-08-24,ABBV|2016-08-24,2,2,1,0.5785,1.7055,0.5833,0.4111,0.4115,"[0.019335, 0.578533, 0.112626, 0.19269, 0.096816]","{'sgd': 0.09057, 'pa': 0.80442, 'gnb': 0.05255, 'rule': 0.05246}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.6438, 'gnb': 0.2, 'rule': 0.8757}",-0.018851,0.025976
PHASE1_TRAIN,ABBV,2016-08-25,ABBV|2016-08-25,3,3,1,0.5378,1.8721,0.589,0.413,0.4133,"[0.060428, 0.178318, 0.537789, 0.129125, 0.094341]","{'sgd': 0.09207, 'pa': 0.8177, 'gnb': 0.04516, 'rule': 0.04508}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.6435, 'gnb': 0.2, 'rule': 0.8761}",-0.004766,0.017921
PHASE1_TRAIN,ABBV,2016-08-26,ABBV|2016-08-26,3,3,1,0.829,0.9713,0.5946,0.4149,0.4151,"[0.023603, 0.027653, 0.829039, 0.080014, 0.039691]","{'sgd': 0.07908, 'pa': 0.83081, 'gnb': 0.04506, 'rule': 0.04506}","{'sgd': 3, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.997, 'pa': 0.8888, 'gnb': 0.2, 'rule': 0.8709}",0.006386,0.012692
